0,1,2,3,4
2,2,207,0.5,ADA
0,93026,207,0.05,ADA
2,2,207,0.5,RF
0,105,207,0.05,RF
52,9,207,0.5,TF
0,102,207,0.05,TF
3,5,207,0.5,ADA
0,93027,207,0.05,ADA
4,5,207,0.5,RF
0,155,207,0.05,RF
4,62,207,0.5,TF
0,226,207,0.05,TF
6,0,207,0.5,ADA
0,93027,207,0.05,ADA
5,0,207,0.5,RF
1,149,207,0.05,RF
54,5,207,0.5,TF
0,106,207,0.05,TF
3,3,207,0.5,ADA
0,93027,207,0.05,ADA
3,2,207,0.5,RF
0,240,207,0.05,RF
35,1,207,0.5,TF
0,105,207,0.05,TF
2,1,207,0.5,ADA
0,93027,207,0.05,ADA
4,0,207,0.5,RF
0,125,207,0.05,RF
99,0,207,0.5,TF
6,27,207,0.05,TF
2,3,206,0.5,ADA
0,93027,206,0.05,ADA
1,2,206,0.5,RF
0,157,206,0.05,RF
75,5,206,0.5,TF
0,50,206,0.05,TF
2,3,206,0.5,ADA
0,93027,206,0.05,ADA
2,3,206,0.5,RF
0,204,206,0.05,RF
29,20,206,0.5,TF
0,129,206,0.05,TF
5,7,206,0.5,ADA
0,93027,206,0.05,ADA
7,7,206,0.5,RF
2,170,206,0.05,RF
15,38,206,0.5,TF
0,183,206,0.05,TF
3,3,206,0.5,ADA
0,93027,206,0.05,ADA
2,5,206,0.5,RF
2,150,206,0.05,RF
28,11,206,0.5,TF
3,136,206,0.05,TF
4,3,207,0.5,ADA
0,93026,207,0.05,ADA
5,2,207,0.5,RF
0,157,207,0.05,RF
17,12,207,0.5,TF
0,126,207,0.05,TF
